"","CD4_c0_Tcm","CD4_c1_Treg","CD4_c10_Tn_LEF1_ANKRD55","CD4_c11_Tisg","CD4_c2_Tn","CD4_c3_Tfh","CD4_c4_Tstr","CD4_c5_CTL","CD4_c6_Tn_FHIT","CD4_c7_Tn_TCEA3","CD4_c8_Tf17","CD4_c9_Tn_TCF7_SLC40A1","CD8_c0_t_Teff","CD8_c1_Tex","CD8_c10_Teff_CD244","CD8_c11_Teff_SEMA4A","CD8_c12_Trm","CD8_c13_Tn_TCF7","CD8_c2_Teff","CD8_c3_Tn","CD8_c4_Tstr","CD8_c5_Tisg","CD8_c6_Tcm","CD8_c7_p_Tex","CD8_c8_Teff_KLRG1","CD8_c9_Tsen","Mast","Mo_01_CD14","Mo_02_CD16","Mono_like_01_CD14","Mono_like_02_CD16","Mono_like_03_CD14CD16","MonoDC","Mph_01_MARCO","Mph_02_CCL20","Mph_03_SPP1","Mph_04_TREM2","Mph_05_IL1B","Mph_06_CXCL9","Mph_07_SLC40A1","Mph_08_APOE","Mph_09_STMN1","Neu_01_MMP8","Neu_02_S100A12","Neu_03_ISG15","Neu_04_TXNIP","Neu_05_ELL2","Neu_06_PTGS2","Neu_07_APOA2","Neu_08_CD74","Neu_09_IFIT1","Neu_10_SPP1","Neu_11_CCL4","DC_01_CLEC9A","DC_02_CD1C","DC_03_LAMP3","DC_04_CD207","DC_05_LILRA4","DC_06_STMN1","ecm_myCAF","detox_iCAF","IL_iCAF","TGFβ_myCAF","wound_myCAF","IFNγ_iCAF","CAF_S1","Normal_Fibroblast"
"1","ANXA1","FOXP3","ANKRD55","ISG15","NBEAL1","CXCL13","HSPA6","GZMA","FHIT","TCEA3","GNLY","SLC40A1","LMNA","CXCL13","CD244","SEMA4A","ITGA1","NHSL2","FGFBP2","LTB","HSPA6","ISG15","DKK3","CHI3L2","LGR6","KLRC4","TPSB2","VCAN","AIF1","EREG","MS4A7","HLA-DRA","FCER1A","MARCO","SPP1","SPP1","SPP1","SELENOP","CXCL10","SELENOP","APOC1","SPP1","LTF","S100A8","IL1R2","IL1R2","SAMSN1","PTGS2","G0S2","PI3","RSAD2","C15orf48","CCL3L1","CPVL","HLA-DRA","CCL19","S100B","GPR183","CD1C","ASPN","ADH1B","ITM2A","CST1","SFRP4","CCL19","LAMA2","ACACB"
"2","LMNA","IL2RA","LEF1","IFI6","CCR7","NMB","HSPA1A","CCL5","ADTRP","NOSIP","SLC1A4","TCF7","ZFP36","GZMB","KLRG1","LMNA","CPNE7","TCF7","GNLY","SELL","HSPA1A","IFI6","CLDND1","FABP5","FGFBP2","PLCG2","TPSAB1","S100A9","LST1","LYZ","IL1B","LYZ","LYZ","CD5L","CXCL3","GPNMB","APOE","LGMN","C1QB","C1QA","FTL","C1QB","CAMP","S100A12","MNDA","CSF3R","C5AR1","CXCL8","CXCL8","C15orf48","IFIT3","PI3","CCL4L2","CST3","HLA-DPB1","TXN","FCGBP","SPIB","CST3","COL3A1","C7","CXCL12","LAMP5","CCDC80","VCAM1","SFRP4","ACSM5"
"3","VIM","TNFRSF4","TCF7","IFI44L","GLTSCR2","PDCD1","HSPA1B","CCL4","GLTSCR2","TCF7","CTSH","NOSIP","RGCC","HAVCR2","PTPRCAP","TMEM66","TXNIP","NACA2","GZMH","LEF1","HSPA1B","MX1","TRAT1","PTPRCAP","PLEK","IGKC","DEFA3","LYZ","FCN1","THBS1","FCN1","HLA-DPB1","HLA-DQA2","C1QB","CCL20","CTSB","APOC1","CCL3","C1QA","C1QB","APOE","C1QC","LCN2","S100A9","CSF3R","FCGR3B","NAMPT","G0S2","APOA2","G0S2","IFIT2","CXCL8","C15orf48","HLA-DPB1","CLEC10A","BIRC3","HLA-DQB2","HLA-DQA1","HLA-DRA","THY1","CXCL12","FIGF","LOXL1","OGN","RBP5","PDGFRA","ADAMTS5"
"4","KLRB1","TIGIT","NOSIP","MX1","TCF7","FABP5","DNAJB1","GZMH","EIF3E","LEF1","CXCR6","LEF1","CXCR4","KRT86","EEF1A1P5","EEF1A1P5","IL7R","C6ORF48","CX3CR1","NOSIP","DNAJB1","IFI44L","SARAF","ACTG1","CX3CR1","EEF1A1P5","CPA3","S100A8","FCGR3A","FCN1","LST1","HLA-DPA1","CLEC10A","C1QA","EREG","MMP12","C1QC","C1QA","CXCL9","SLC40A1","C1QB","C1QA","PGLYRP1","GCA","FCGR3B","MNDA","BASP1","PROK2","C5AR1","CXCL8","C15orf48","G0S2","CXCL8","HLA-DPA1","HLA-DQB1","CCR7","CD1A","HLA-DQB1","HLA-DRB1","SFRP2","TNXB","FXYD1","EDNRA","DCN","CYP1B1","LRRC15","ADRB1"
"5","IL7R","CARD16","SELL","IFIT3","GNB2L1","ITM2A","HSPH1","NKG7","NOSIP","MAL","LGALS3","MAL","DUSP2","CCL3","PLEK","GZMK","H1FX","RACK1","S1PR5","EIF3E","HSPH1","IFIT3","LDHA","CD27","S1PR5","KLRK1","CTSG","FCN1","CDKN1C","VCAN","FCGR3A","HLA-DRB1","CST3","C1QC","PLIN2","CTSD","C1QB","C1QB","C1QC","C1QC","C1QA","CTSB","MMP8","IL1R2","S100A8","CXCR2","S100A9","PLAUR","NAMPT","PPIF","ISG15","FTH1","PI3","HLA-DQB1","HLA-DQA1","MARCKSL1","CD207","AREG","TUBA1B","COL10A1","RSPO3","PLPP3","TGFB1","PTGER3","C7","GREM1","AGTR1"
"6","ZFP36","TNFRSF18","IL6ST","IFIT1","SELL","LAG3","HSP90AA1","HOPX","SELL","C1orf162","PLIN2","SELL","ZFP36L2","ENTPD1","LIME1","JUND","TMEM173","SELL","SPON2","CCR7","HSP90AA1","IFIT1","ITM2C","CD38","SPON2","KLRC4-KLRK1","HPGD","S100A12","CTSS","IL1B","EREG","FCN1","SAMHD1","SLC40A1","CTSL","FTL","CTSB","CXCL3","APOE","RNASE1","C1QC","RNASE1","CRISP3","MNDA","IFITM1","RIPOR2","G0S2","NAMPT","FCGR3B","PHACTR1","G0S2","BCL2A1","CCL3","CLEC9A","HLA-DPA1","IDO1","FCER1A","HLA-DRA","HLA-DPA1","COL6A3","DCN","TNFRSF10D","TGFB3","SFRP2","TNFRSF4","SFRP2","AKR1C4"
"7","ZFP36L2","BATF","LDLRAP1","RSAD2","C6orf48","CD200","HSPE1","GZMB","C6orf48","LDLRAP1","JAML","C1orf162","JUND","VCAM1","DENND2D","HLA-H","ETS1","C12ORF57","FCGR3A","EEF1B2","BAG3","RSAD2","DUSP2","CAV1","ADGRG1","TMSB4XP8","MS4A2","CTSS","MS4A7","S100A9","LILRB2","CST3","HLA-DQB1","CD163","CCL7","APOC1","CTSD","GPNMB","LGMN","LGMN","CD68","TUBA1B","PADI4","CMTM2","IFIT2","GCA","PLAUR","BCL2A1","PLAUR","BCL2A1","IFIT1","PHACTR1","G0S2","LGALS2","HLA-DRB1","FSCN1","HLA-DRB5","HLA-DPA1","HLA-DQB1","LRRC17","C16orf89","CTB-92J24.3","TNN","PDGFRL","CXCL13","KIAA1462","ANKRD20A4"
"8","GPR183","CTLA4","RIPOR2","STAT1","TMEM66","TOX2","HSPB1","LGALS1","DONSON","FLT3LG","KLRB1","LDLRAP1","XCL1","LAG3","SLC9A3R1","PTPRCAP","PIK3IP1","TPT1","PLEK","MAL","HSPD1","OAS1","MLLT3","CNN2","FCRL6","HSPA1B","HPGDS","CSTA","CFD","MAFB","AIF1","HLA-DQA1","HLA-DPB1","LIPA","OLR1","FABP5","C1QA","CTSB","CTSZ","FOLR2","CTSB","CTSD","S100P","VNN2","IFIT3","FPR1","IFITM2","C5AR1","CMTM2","ALOX5AP","CXCL8","CCL3L1","CCL4","CD74","CD1C","LAMP3","HLA-DQB1","HLA-DPB1","HLA-DQA1","CILP","GDF10","LAMC3","CST2","SMOC2","CXCL9","DCN","ANKRD31"
"9","CXCR4","RTKN2","FYB1","MX2","EEF1B2","GNG4","BAG3","ALOX5AP","TCF7","EIF3E","IL17F","FLT3LG","GZMK","TNFRSF9","SASH3","TMSB4XP8","ERN1","GLTSCR2","ADGRG1","GLTSCR2","HSPE1","IFI27","ATP6V0C","DENND2D","RIPOR2","HLA-H","GATA2","CYP1B1","COTL1","CXCL2","MAFB","HLA-DQB1","HLA-DRA","MS4A7","CSTB","CTSL","GPNMB","RNASE1","HLA-DRB1","APOE","NPC2","TUBB","CEACAM8","CDA","GCA","NAMPT","ACSL1","OSM","BCL2A1","FTH1","TNFAIP6","NAMPT","IL1B","HLA-DRA","CST3","CCL22","HLA-DQA1","GRASP","HLA-DRB5","GRP","PAMR1","C7","HES4","MMP23B","CCL2","CPXM2","AQP7"
"10","RGCC","IL32","TRABD2A","OAS1","LEF1","TIGIT","HSPD1","GZMK","LEF1","RASGRP2","IL17A","KLF2","FTH1","CTLA4","CMC1","C6orf62","BCL11B","LEF1","FCRL6","AIF1","HSPB1","IFI44","GGA2","PFN1","PAXX","C1orf56","LTC4S","CYBB","POU2F2","SERPINB2","APOBEC3A","HLA-DRB5","HLA-DPA1","SELENOP","CXCL2","CSTB","PSAP","C1QC","HLA-DQA1","MS4A7","SPP1","APOE","CD177","MME","RIPOR2","TMEM154","ELL2","IL1B","S100A9","IFITM2","FCGR3B","S100A11","PHACTR1","HLA-DRB1","HLA-DRB5","CXCL9","HLA-DRA","HLA-DRB1","CD74","ITGBL1","FXYD1","ZBTB16","COL10A1","CPXM2","IL34","PTGFR","ARHGAP6"
